Filename,33000x_m.tif,17500x_j.tif,9700x_m.tif,9700x_m.tif,9700x_m.tif,7400x_r.tif,7400x_l.tif,7400x_k.tif
C265,100.933,0.049,113.001,0.000,0.000,204.835,193.609,190.788
C266,101.143,0.049,112.936,0.000,0.000,204.200,191.784,190.905
C267,101.353,0.049,112.870,0.000,0.000,203.565,189.960,191.023
C268,101.563,0.049,112.805,0.000,0.000,202.930,188.135,191.140
C269,101.773,0.049,112.740,0.000,0.000,202.296,186.310,191.258
C270,101.984,0.049,112.674,0.000,0.000,201.661,184.485,191.375
C271,102.194,0.049,112.609,0.000,0.000,201.026,182.660,191.493
C272,102.404,0.049,112.544,0.000,0.000,200.391,180.835,191.611
C273,102.614,0.049,112.478,0.000,0.000,199.757,179.010,191.728
C274,102.824,0.048,112.413,0.000,0.000,199.122,177.186,191.846
C275,103.034,0.048,112.348,0.000,0.000,198.487,175.361,191.963
C276,103.244,0.048,112.283,0.000,0.000,197.852,173.536,192.081
C277,103.454,0.047,112.217,0.000,0.000,197.217,171.711,192.198
C278,103.665,0.047,112.152,0.000,0.000,196.583,169.886,192.316
C279,103.875,0.047,112.087,0.000,0.000,195.948,168.061,192.433
C280,104.085,0.047,112.021,0.000,0.000,195.313,166.236,192.551
C281,104.295,0.046,111.956,0.000,0.000,194.678,164.412,192.668
C282,104.505,0.046,111.891,0.000,0.000,194.044,162.587,192.786
C283,104.715,0.046,111.826,0.000,0.000,193.409,160.762,192.903
C284,104.925,0.045,111.760,0.000,0.000,192.774,158.937,193.021
C285,105.135,0.045,111.695,0.000,0.000,192.139,157.112,193.138
C286,105.323,0.045,111.630,0.000,0.000,191.505,155.287,193.256
C287,105.453,0.044,111.564,0.000,0.000,190.870,153.462,193.373
C288,105.583,0.044,111.499,0.000,0.000,190.235,151.638,193.491
C289,105.713,0.044,111.434,0.000,0.000,189.600,149.813,193.608
C290,105.843,0.043,111.369,0.000,0.000,188.965,148.192,193.726
C291,105.973,0.043,111.303,0.000,0.000,188.331,147.359,193.844
C292,106.103,0.043,111.238,0.000,0.000,187.696,146.527,193.961
C293,106.233,0.042,111.173,0.000,0.000,187.061,145.695,194.079
C294,106.363,0.042,111.107,0.000,0.000,186.426,144.862,194.196
C295,106.493,0.042,111.042,0.000,0.000,185.792,144.030,194.314
C296,106.622,0.041,110.977,0.000,0.000,185.157,143.198,194.431
C297,106.752,0.041,110.912,0.000,0.000,184.522,142.365,194.549
C298,106.882,0.041,110.846,0.000,0.000,183.887,141.533,194.666
C299,107.012,0.041,110.781,0.000,0.000,183.253,140.701,194.784
C300,107.142,0.040,110.716,0.000,0.000,182.618,139.868,194.901
C301,107.272,0.040,110.650,0.000,0.000,181.983,139.036,195.019
C302,107.402,0.040,110.585,0.000,0.000,181.348,138.204,195.136
C303,107.532,0.039,110.520,0.000,0.000,180.714,137.371,195.254
C304,107.662,0.039,110.454,0.000,0.000,180.079,136.539,195.371
C305,107.792,0.039,110.389,0.000,0.000,179.444,135.707,195.489
C306,107.922,0.039,110.324,0.000,0.000,178.809,134.874,195.606
C307,108.051,0.039,110.259,0.000,0.000,178.174,134.042,195.724
C308,108.181,0.039,110.193,0.000,0.000,177.540,133.210,195.841
C309,108.311,0.039,110.128,0.000,0.000,176.905,132.377,195.959
C310,108.441,0.039,110.063,0.000,0.000,176.270,131.545,196.077
C311,108.571,0.039,109.997,0.000,0.000,175.635,130.713,196.194
C312,108.701,0.039,109.932,0.000,0.000,175.001,129.880,196.312
C313,108.831,0.039,109.867,0.000,0.000,174.366,129.048,196.429
C314,108.961,0.039,109.802,0.000,0.000,173.731,129.371,196.547
C315,109.091,0.039,109.736,0.000,0.000,173.096,130.730,196.664
C316,109.221,0.039,109.671,0.000,0.000,172.462,132.088,196.782
C317,109.351,0.039,109.606,0.000,0.000,171.285,133.446,194.581
C318,109.480,0.039,109.540,0.000,0.000,170.048,134.805,191.761
C319,109.610,0.039,109.772,0.000,0.000,168.810,136.163,188.941
C320,109.740,0.039,110.181,0.000,0.000,167.572,137.521,186.121
C321,109.870,0.039,110.590,0.000,0.000,166.335,138.880,183.302
C322,110.000,0.039,110.998,0.000,0.000,165.097,140.238,182.310
C323,110.130,0.039,111.407,0.000,0.000,163.859,141.597,181.846
C324,110.260,0.039,111.816,0.000,0.000,162.621,142.955,181.381
C325,110.259,0.039,112.224,0.000,0.000,161.384,144.313,180.917
C326,110.133,0.039,112.633,0.000,0.000,160.146,145.672,180.452
C327,110.007,0.039,113.042,0.000,0.000,158.908,147.030,179.988
C328,109.881,0.039,113.451,0.000,0.000,157.671,148.388,179.524
C329,109.755,0.039,113.859,0.000,0.000,156.433,149.747,179.059
C330,109.629,0.039,114.268,0.000,0.000,155.195,151.105,178.595
C331,109.504,0.039,114.677,0.000,0.000,153.957,152.464,178.130
C332,109.378,0.039,115.086,0.000,0.000,152.720,153.822,177.666
C333,109.252,0.039,115.494,0.000,0.000,151.482,155.180,177.202
C334,109.126,0.039,115.903,0.000,0.000,150.244,156.539,176.737
C335,109.000,0.039,116.312,0.000,0.000,149.007,157.897,176.273
C336,108.874,0.039,116.721,0.000,0.000,147.769,159.255,175.808
C337,108.749,0.039,117.129,0.000,0.000,146.531,160.614,175.344
C338,108.623,0.039,117.538,0.000,0.000,145.293,161.972,174.880
C339,108.497,0.039,117.947,0.000,0.000,144.056,163.331,174.415
C340,108.371,0.039,118.356,0.000,0.000,142.818,164.689,173.951
C341,108.245,0.039,118.764,0.000,0.000,141.580,166.047,173.486
C342,108.119,0.039,119.173,0.000,0.000,140.343,167.406,173.022
C343,107.994,0.039,119.582,0.000,0.000,139.887,168.764,172.558
C344,107.868,0.039,119.990,0.000,0.000,140.051,170.122,172.093
C345,107.742,0.039,120.399,0.000,0.000,140.216,171.481,171.629
C346,107.616,0.039,120.808,0.000,0.000,140.380,172.839,171.164
C347,107.490,0.039,121.217,0.000,0.000,140.545,174.198,170.700
C348,107.364,0.039,121.625,0.000,0.000,140.709,175.556,170.236
C349,107.239,0.039,122.034,0.000,0.000,140.873,176.914,169.771
C350,107.113,0.039,122.443,0.000,0.000,141.038,178.273,169.307
C351,106.987,0.039,122.852,0.000,0.000,141.202,179.631,168.842
C352,106.861,0.039,123.260,0.000,0.000,141.367,180.989,168.378
C353,106.735,0.039,123.669,0.000,0.000,141.531,182.348,167.914
C354,106.609,0.039,124.078,0.000,0.000,141.696,183.706,167.449
C355,106.484,0.039,124.487,0.000,0.000,141.860,185.065,166.985
C356,106.358,0.039,124.895,0.000,0.000,142.025,186.423,166.520
C357,106.232,0.039,125.304,0.000,0.000,142.189,187.781,166.056
C358,106.106,0.039,125.713,0.000,0.000,142.354,188.475,165.592
C359,105.980,0.039,126.122,0.000,0.000,142.518,188.376,165.127
C360,105.855,0.039,126.530,0.000,0.000,142.683,188.276,164.663
C361,105.729,0.039,126.939,0.000,0.000,142.847,188.177,164.198
C362,105.603,0.039,127.348,0.000,0.000,143.012,188.078,163.734
C363,105.477,0.039,127.757,0.000,0.000,143.176,187.979,163.270
C364,105.351,0.039,128.165,0.000,0.000,143.340,187.880,162.805
C365,105.225,0.039,128.574,0.000,0.000,143.505,187.781,162.341
C366,105.100,0.039,128.983,0.000,0.000,143.669,187.681,161.876
C367,104.974,0.039,129.391,0.000,0.000,143.834,187.582,161.412
C368,104.848,0.039,129.800,0.000,0.000,143.998,187.483,160.948
C369,104.722,0.039,130.209,0.000,0.000,144.163,187.384,160.483
C370,104.596,0.039,130.618,0.000,0.000,144.327,187.285,160.019
C371,104.470,0.039,131.026,0.000,0.000,144.492,187.186,159.555
C372,104.345,0.039,131.435,0.000,0.000,144.656,187.086,159.090
C373,104.219,0.039,131.844,0.000,0.000,144.821,186.987,158.626
C374,104.093,0.039,132.253,0.000,0.000,144.985,186.888,158.161
C375,103.967,0.039,132.661,0.000,0.000,145.150,186.789,157.697
C376,103.841,0.039,133.070,0.000,0.000,145.314,186.690,157.233
C377,103.715,0.039,133.479,0.000,0.000,145.479,186.591,156.768
C378,103.590,0.039,133.888,0.000,0.000,145.643,186.491,156.304
C379,103.464,0.039,134.296,0.000,0.000,145.808,186.392,155.839
C380,103.338,0.039,134.705,0.000,0.000,145.972,186.293,155.375
C381,103.212,0.039,135.114,0.000,0.000,146.136,186.194,154.911
C382,103.086,0.039,135.523,0.000,0.000,146.301,186.095,154.446
C383,102.960,0.039,135.931,0.000,0.000,146.465,185.996,153.982
C384,102.835,0.039,136.340,0.000,0.000,146.630,185.896,153.517
C385,102.709,0.039,136.749,0.000,0.000,146.794,185.797,153.053
C386,102.583,0.039,137.158,0.000,0.000,146.959,185.698,152.589
C387,102.457,0.039,137.566,0.000,0.000,147.123,185.599,152.124
C388,102.331,0.038,137.975,0.000,0.000,147.288,185.566,151.660
C389,102.205,0.038,138.384,0.000,0.000,147.452,185.610,151.195
C390,102.080,0.038,138.792,0.000,0.000,147.617,185.654,150.731
C391,101.954,0.038,139.201,0.000,0.000,147.781,185.699,150.267
