Filename,5800x_l.tif,5800x_l.tif,9700c.tif,9700d.tif,9700x.tif,9700x.tif,9700xh.tif,9700xh.tif,9700x_r.tif,13500x_n.tif,24500xj.tif,CM100-5.tif
C129,195.443,165.555,72.952,121.884,138.135,109.927,179.470,79.347,137.945,222.181,171.959,76.448
C130,195.781,167.447,73.786,121.817,137.640,111.154,180.107,79.124,138.174,221.514,171.781,76.374
C131,195.931,169.338,74.621,121.749,137.145,112.381,180.571,78.901,138.404,220.847,171.603,76.301
C132,195.876,171.230,75.455,121.681,136.649,113.607,180.658,78.678,138.634,220.180,171.425,76.228
C133,195.822,173.121,76.289,121.613,136.154,114.834,180.746,78.454,138.863,219.512,171.246,76.154
C134,195.767,175.012,77.124,121.545,135.659,116.061,180.833,78.231,139.093,218.845,171.068,76.081
C135,195.712,176.904,77.958,121.477,135.163,117.288,180.920,78.008,139.323,218.178,170.890,76.008
C136,195.658,178.795,78.792,121.409,134.668,118.515,181.007,77.785,139.552,217.511,170.712,75.934
C137,195.603,180.687,79.626,121.341,134.173,119.741,181.095,77.562,139.782,216.844,170.534,75.861
C138,195.549,182.578,80.461,121.273,133.678,120.968,181.182,77.338,140.012,216.177,170.355,75.788
C139,195.494,184.470,81.295,121.205,133.182,122.195,181.269,77.115,140.242,215.509,170.177,75.714
C140,195.439,186.361,82.129,121.137,132.687,123.422,181.357,77.170,140.471,215.359,169.999,75.641
C141,195.385,188.252,82.964,121.069,132.192,124.648,182.329,77.271,140.701,215.592,169.821,75.568
C142,195.330,190.144,83.798,121.001,131.697,125.875,184.055,77.372,140.931,215.825,169.898,75.494
C143,195.276,192.035,84.632,120.933,131.201,127.102,185.782,77.473,141.160,216.058,170.063,75.421
C144,195.221,193.927,85.467,120.866,130.706,128.329,187.508,77.574,141.390,216.291,170.228,75.348
C145,195.166,195.818,86.301,120.798,130.211,129.556,189.234,77.675,141.620,216.524,170.392,75.382
C146,195.112,197.709,87.135,120.730,129.716,130.782,190.961,77.776,141.849,216.757,170.557,75.486
C147,195.057,199.601,87.970,120.662,129.220,132.009,192.687,77.877,142.079,216.990,170.722,75.589
C148,195.003,201.492,88.804,120.594,128.725,133.236,194.413,77.978,142.309,217.223,170.887,75.692
C149,194.948,203.384,89.638,120.526,128.230,134.463,196.140,78.079,142.539,217.456,171.051,75.795
C150,194.893,205.275,90.472,120.458,127.735,135.689,197.866,78.180,142.768,217.689,171.216,75.899
C151,194.839,207.167,91.307,120.390,127.239,136.916,199.592,78.281,142.998,217.922,171.381,76.002
C152,194.784,209.058,91.986,120.322,126.744,138.143,201.318,78.382,143.228,218.155,171.546,76.105
C153,194.730,210.949,92.586,120.254,126.249,139.370,203.045,78.483,143.457,218.388,171.710,76.208
C154,194.675,212.841,93.187,120.186,125.753,140.596,204.771,78.584,143.687,218.621,171.875,76.311
C155,194.620,214.732,93.788,120.118,125.258,141.823,206.497,78.685,143.917,218.854,172.040,76.415
C156,194.566,216.624,94.389,120.050,124.763,143.050,208.224,78.786,144.146,219.087,172.205,76.518
C157,194.511,218.515,94.990,119.982,124.268,143.147,209.950,78.887,144.376,219.321,172.369,76.621
C158,194.457,220.407,95.591,119.914,124.173,140.524,211.676,78.988,144.606,219.554,172.534,76.724
C159,194.402,222.298,96.192,119.847,124.108,137.902,213.403,79.089,144.836,219.787,172.699,76.828
C160,194.347,224.189,96.793,119.779,124.042,135.279,215.129,79.190,145.065,220.020,172.864,76.931
C161,194.293,226.081,97.394,121.306,123.976,132.656,216.855,79.291,145.295,220.253,173.028,77.034
C162,194.238,227.972,97.994,123.235,123.911,130.033,218.581,79.392,145.525,220.486,173.193,77.137
C163,194.184,229.058,98.595,125.164,123.845,127.410,220.308,79.493,145.754,220.719,173.358,77.241
C164,194.129,228.394,99.196,127.092,123.780,124.787,222.034,79.594,145.984,220.952,173.523,77.344
C165,194.074,227.782,99.797,129.021,123.714,122.164,223.760,79.695,146.214,221.185,173.687,77.447
C166,194.020,227.449,100.398,130.950,124.189,119.542,225.487,79.796,146.443,221.508,173.852,77.550
C167,193.965,227.116,100.999,132.879,124.981,116.919,227.213,79.897,146.673,224.537,174.017,77.653
C168,193.911,226.783,101.600,134.807,125.772,114.296,228.939,79.998,146.903,227.567,174.182,77.757
C169,193.856,226.450,102.201,136.736,126.564,111.673,230.666,80.099,147.133,230.596,174.346,77.860
C170,193.801,226.117,102.802,138.665,127.356,109.050,232.392,80.200,147.362,233.626,174.511,77.963
C171,193.747,225.784,104.925,140.594,128.147,106.427,234.118,80.301,147.592,236.655,174.676,78.066
