Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C316,50.585,136.216,0.000,27.779,56.105
C317,49.614,131.735,0.000,26.598,54.607
C318,48.642,127.253,0.000,25.418,53.109
C319,47.671,122.772,0.000,24.237,51.611
C320,46.699,118.291,0.000,23.056,50.112
C321,45.728,113.809,0.000,21.875,48.614
C322,44.756,109.328,0.000,20.694,47.116
C323,43.785,104.846,0.000,19.514,47.666
C324,42.813,100.365,0.000,18.333,49.713
C325,42.979,95.883,0.000,17.152,51.760
C326,43.350,91.402,0.000,15.971,53.807
C327,43.722,86.921,0.000,14.790,55.854
C328,44.093,82.439,0.000,13.609,57.901
C329,44.464,77.958,0.000,12.429,59.948
C330,44.836,73.476,0.000,11.990,61.995
C331,45.207,72.045,0.000,12.171,64.042
C332,45.579,76.407,0.000,12.352,65.019
C333,45.950,80.769,0.000,12.533,65.626
C334,46.322,83.151,0.000,12.714,66.232
C335,46.693,84.696,0.000,12.896,66.839
C336,47.064,86.241,0.000,13.077,67.445
C337,47.436,87.786,0.000,13.258,68.052
C338,47.807,89.331,0.000,13.439,68.659
C339,48.179,90.876,0.000,13.621,69.265
C340,48.550,92.421,0.000,13.802,69.872
C341,48.922,93.966,0.000,13.983,70.478
C342,49.293,95.511,0.000,14.164,71.085
C343,49.665,97.056,0.000,14.345,71.692
C344,50.036,98.601,0.000,15.374,72.298
C345,50.407,100.145,0.000,16.445,72.905
C346,50.779,100.760,0.000,17.517,73.511
C347,51.830,99.537,0.000,18.589,74.118
C348,53.196,98.314,0.000,19.660,74.725
C349,54.561,97.091,0.000,20.732,75.331
C350,55.927,95.867,0.000,21.804,75.938
C351,57.292,94.644,0.000,22.875,76.544
C352,58.657,93.421,0.000,23.947,77.151
C353,60.023,93.015,0.000,25.019,77.757
C354,61.388,92.837,0.000,26.090,78.364
C355,62.754,92.660,0.000,27.162,78.971
C356,64.119,92.482,0.000,28.234,79.577
C357,65.484,92.304,0.000,29.305,80.184
C358,66.850,92.126,0.000,30.377,80.790
C359,68.215,91.949,0.000,31.449,81.397
C360,69.581,91.771,0.000,32.520,78.994
C361,70.946,91.593,0.000,33.592,75.715
C362,72.311,91.415,0.000,34.664,72.436
C363,73.677,95.324,0.000,35.735,69.157
C364,75.042,101.419,0.000,36.807,65.879
C365,76.408,107.515,0.000,37.879,62.600
C366,77.773,113.610,0.000,38.950,59.321
C367,79.138,119.706,0.000,40.022,56.042
C368,80.504,125.801,0.000,41.094,52.763
C369,81.869,124.428,0.000,42.165,49.485
C370,82.361,123.039,0.000,43.237,46.206
C371,82.003,121.650,0.000,44.309,42.927
C372,81.645,120.262,0.000,45.380,39.648
C373,81.287,118.873,0.000,46.452,36.370
C374,80.929,117.484,0.000,47.524,33.091
C375,80.571,116.095,0.000,48.595,29.812
C376,80.213,114.707,0.000,49.667,26.533
C377,79.855,113.318,0.000,50.739,23.255
C378,79.497,111.929,0.000,51.810,19.976
C379,79.139,110.541,0.000,52.882,16.697
C380,78.781,109.152,0.000,53.954,13.418
C381,78.423,111.269,0.000,55.025,14.273
C382,78.065,113.613,0.000,56.097,16.299
C383,77.707,115.956,0.000,57.169,18.324
C384,77.349,118.299,0.000,58.240,20.350
C385,76.991,120.642,0.000,59.312,22.376
C386,76.633,122.985,0.000,60.384,24.402
C387,76.275,125.328,0.000,61.414,26.428
C388,75.917,127.671,0.000,59.341,28.454
C389,75.559,130.015,0.000,57.267,30.480
C390,75.201,132.358,0.000,55.194,32.506
C391,74.843,134.701,0.000,53.120,34.532
C392,73.084,137.044,0.000,51.046,36.558
