Filename,17500x_o.tif,17500x_b.tif,9700x_k.tif,9700x_h.tif,7400x_j.tif,7400x_i.tif,7400x_a.tif
C391,103.913,99.070,87.907,173.546,137.893,166.299,72.838
C392,103.373,99.130,88.586,174.762,136.756,165.932,75.181
C393,102.834,99.190,89.266,175.978,135.618,165.566,77.524
C394,102.294,99.250,89.946,177.194,134.480,165.200,79.867
C395,101.755,99.310,90.626,178.410,133.342,164.834,82.209
C396,101.216,99.370,91.306,179.626,132.204,164.468,84.552
C397,100.676,99.430,91.986,181.180,131.066,164.101,86.895
C398,100.137,99.490,92.666,182.766,129.928,163.735,89.238
C399,99.597,99.550,93.052,184.352,128.790,163.369,91.581
C400,99.058,99.610,93.148,185.939,127.652,163.003,93.923
C401,98.518,99.670,93.245,187.525,126.515,162.637,94.882
C402,99.922,99.730,93.341,189.111,125.377,162.270,95.774
C403,101.528,99.790,93.437,190.697,124.239,161.904,96.666
C404,103.135,99.850,93.534,192.283,123.101,161.538,97.558
C405,104.741,99.910,93.630,193.870,121.963,161.172,98.450
C406,106.347,99.970,93.727,195.456,120.825,160.806,99.343
C407,107.954,100.030,93.823,197.042,119.687,160.439,100.235
C408,109.560,100.090,93.919,198.628,118.549,160.073,101.127
C409,111.166,100.150,94.016,200.215,117.411,159.707,102.019
C410,112.773,100.210,94.112,201.801,116.273,159.341,102.911
C411,114.379,100.271,94.209,203.387,115.136,158.975,103.803
C412,115.986,100.331,94.305,202.804,113.998,158.608,104.695
C413,117.592,100.391,94.401,200.777,112.860,158.242,105.588
C414,119.198,100.451,94.498,198.751,113.455,157.876,106.480
C415,120.805,100.511,94.594,196.724,115.118,157.510,107.372
C416,122.411,100.571,94.691,194.698,116.780,157.143,108.264
C417,124.017,100.631,94.971,192.671,118.442,156.777,109.156
C418,125.624,100.691,95.262,190.645,118.340,156.411,110.048
C419,127.230,100.751,95.554,188.618,117.968,156.045,110.940
C420,128.837,100.811,95.846,186.592,117.596,155.679,111.833
C421,130.443,100.871,96.137,184.565,117.223,155.312,112.725
C422,130.412,100.788,96.429,182.539,116.851,154.946,113.617
C423,129.931,100.573,96.721,180.512,116.479,154.580,114.509
C424,129.450,100.359,97.012,178.486,116.107,154.214,115.401
C425,128.969,100.144,97.304,176.459,115.735,153.848,116.293
