Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C41,43.924,190.011,108.037,502.776,160.445,368.301,190.822,166.771,236.904,46.208,87.428,122.495,523.328,185.176,71.116,46.065,102.954,131.437,98.447,100.990,81.740,38.456,62.950,20.676,46.055,108.400,82.766,17.330,133.957,116.020,56.013,40.112,29.493,61.504
C42,41.972,189.819,105.724,497.258,159.864,366.939,190.912,167.078,234.524,45.966,85.675,121.456,523.483,186.131,70.495,43.636,102.555,126.979,99.043,98.549,83.067,38.426,62.692,20.311,46.112,108.681,81.893,18.370,141.915,115.771,55.829,38.191,29.456,61.991
C43,40.020,189.627,103.411,491.741,159.283,365.576,191.003,167.385,230.067,45.723,86.304,116.975,523.639,187.087,69.873,41.208,102.157,122.522,99.488,97.624,84.393,38.396,62.433,19.947,46.169,108.962,81.021,19.411,149.874,115.523,55.645,36.270,29.419,62.478
C44,38.068,189.435,101.097,486.223,158.702,364.213,191.093,167.692,224.731,45.480,87.101,112.494,523.794,188.043,69.252,38.780,101.758,118.064,99.932,97.127,85.720,38.366,62.174,19.582,46.227,109.243,80.148,20.451,157.833,115.274,55.556,35.440,29.383,62.965
C45,38.814,189.244,98.784,480.705,158.120,362.850,191.337,167.999,219.603,45.237,87.897,108.013,523.949,188.998,68.631,36.351,101.360,113.606,100.377,96.631,87.046,38.336,62.387,19.217,46.284,109.523,79.275,21.492,165.791,115.025,56.211,35.315,29.346,63.452
C46,40.769,189.052,96.470,475.554,157.539,361.487,191.839,168.305,219.419,44.994,88.694,105.029,524.105,189.954,68.009,33.923,100.961,109.149,100.821,96.134,88.373,38.306,63.602,18.853,46.341,109.804,78.403,22.533,173.750,114.777,56.865,35.190,29.309,63.939
C47,42.724,188.860,94.157,471.677,156.958,360.124,192.342,168.612,219.235,44.751,89.490,104.648,524.260,190.910,67.388,31.494,100.563,104.691,101.266,95.638,89.700,38.276,64.816,18.488,46.398,110.085,77.530,23.573,172.286,114.528,57.519,35.065,29.272,64.426
C48,44.680,188.668,91.843,467.800,156.377,358.761,192.844,168.919,219.051,44.508,90.287,104.267,524.416,191.865,66.767,29.066,100.164,100.233,101.710,95.141,91.026,38.246,66.030,18.123,46.456,110.366,76.658,24.614,170.681,114.279,58.173,34.939,29.236,64.913
C49,46.635,188.477,89.530,463.923,155.796,357.398,193.347,169.226,218.866,44.265,91.084,103.886,524.571,192.821,66.145,26.638,99.766,95.776,102.155,94.645,92.353,38.216,67.245,17.758,46.513,110.647,75.785,25.654,169.076,114.031,58.827,34.814,29.199,65.400
C50,48.590,188.285,87.216,460.046,155.214,356.035,193.849,169.533,218.682,44.022,91.880,103.505,524.726,193.777,65.524,24.209,99.367,91.318,102.599,94.148,94.982,38.186,68.459,17.394,46.570,110.927,75.010,26.695,167.471,113.782,59.482,34.689,29.162,64.676
C51,50.546,188.093,84.903,456.169,154.633,354.672,194.352,169.839,218.498,43.779,92.677,103.124,524.882,194.732,64.903,21.781,98.969,86.860,103.044,93.652,97.794,38.156,69.673,17.029,46.627,111.208,74.235,27.735,153.342,113.533,60.136,34.564,29.125,63.868
C52,52.501,187.901,82.589,452.292,154.052,353.309,194.854,170.146,218.314,43.537,93.473,102.743,525.037,195.688,64.281,19.353,98.570,82.403,103.489,93.155,100.607,38.126,70.888,16.664,46.684,111.489,73.460,28.776,137.267,113.285,60.790,34.438,29.089,63.061
C53,54.456,187.710,80.276,448.415,153.471,351.946,195.357,170.453,218.129,43.294,94.270,102.361,525.192,196.644,63.660,16.924,98.172,77.717,103.933,92.659,103.419,38.096,72.102,16.300,46.742,111.770,72.685,29.817,121.193,113.036,61.444,34.313,29.052,62.254
C54,56.411,187.518,78.212,444.538,152.890,350.583,195.859,170.760,217.945,43.051,95.067,101.980,525.348,197.599,63.039,14.496,97.773,73.079,104.378,92.162,106.232,38.066,73.316,15.935,46.629,112.051,71.910,30.857,105.118,112.787,62.099,34.188,29.015,61.446
C55,58.367,187.326,80.621,440.660,152.308,349.220,196.362,171.067,217.761,42.808,95.863,101.599,525.503,198.555,62.417,12.068,97.375,72.347,104.822,91.665,106.862,38.036,74.530,15.570,44.631,112.331,71.331,31.898,89.043,112.539,62.753,34.063,28.978,60.639
C56,62.177,187.134,83.029,436.783,151.727,347.857,196.864,171.373,217.577,42.565,96.660,101.218,525.658,199.511,61.796,9.639,96.976,71.615,105.267,91.169,105.958,38.006,75.745,15.205,42.634,112.612,71.505,32.938,86.948,112.290,63.407,33.937,28.942,59.832
