Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C171,39.912,26.659,41.264,74.161,49.365,77.766,58.382
C172,39.847,26.800,41.282,73.130,48.428,77.534,58.146
C173,39.782,26.941,41.301,72.098,47.491,77.302,57.910
C174,39.717,27.082,41.319,72.209,46.553,77.069,57.674
C175,39.652,27.223,41.338,72.508,45.616,76.837,57.437
C176,39.587,27.364,41.356,72.808,44.678,76.605,57.201
C177,39.521,27.505,41.375,73.107,43.741,76.373,56.776
C178,39.456,27.646,41.393,73.406,42.804,76.140,55.755
C179,39.391,27.787,41.412,73.705,41.866,75.908,54.735
C180,39.326,27.928,41.430,74.004,40.929,75.676,53.714
C181,39.261,28.070,41.449,74.304,39.991,75.443,52.693
C182,39.196,28.211,41.467,74.603,39.054,75.211,51.673
C183,39.131,28.352,41.486,74.902,38.117,74.979,50.652
C184,39.066,28.493,41.505,75.201,37.179,74.746,49.632
C185,39.001,28.634,41.523,75.500,36.242,74.514,48.611
C186,38.936,28.775,41.542,75.799,35.304,74.282,47.591
C187,38.871,28.916,41.560,76.099,34.367,74.050,46.570
C188,38.746,29.057,41.579,76.398,33.430,73.817,45.550
C189,38.574,29.198,41.597,76.697,32.492,73.585,44.529
C190,38.402,29.339,41.616,76.996,33.186,73.353,43.509
C191,38.230,29.480,41.634,77.295,34.097,73.120,42.488
C192,38.058,29.621,41.653,77.595,35.008,72.888,41.468
C193,37.886,29.762,41.671,77.894,35.919,72.656,41.948
C194,37.714,29.903,41.690,78.193,36.830,72.423,42.471
C195,37.542,30.044,41.708,78.492,37.740,72.191,42.993
C196,37.370,30.185,41.727,78.791,38.651,71.959,43.516
C197,37.198,30.326,41.746,79.090,39.562,71.727,44.039
C198,37.026,30.467,41.764,79.390,40.473,71.494,44.561
C199,36.854,30.608,41.783,79.689,41.384,71.262,45.084
C200,36.682,30.750,41.801,79.988,42.294,71.030,45.606
C201,36.510,30.891,41.820,80.287,43.205,70.797,46.129
C202,36.338,31.032,41.838,80.586,44.116,70.565,46.651
C203,36.166,31.173,41.857,80.886,45.027,70.333,47.174
C204,35.994,31.314,41.875,81.185,45.938,70.101,47.697
C205,35.822,31.455,41.894,81.484,46.848,69.868,48.219
C206,35.741,31.596,41.912,81.783,47.759,69.636,48.742
C207,36.581,31.737,41.931,82.082,48.670,69.404,49.264
C208,37.421,31.878,41.980,82.381,49.581,69.171,49.787
C209,38.262,32.019,42.971,82.681,50.492,68.939,50.309
C210,39.102,32.160,43.962,82.980,51.402,68.707,50.832
C211,39.943,32.301,44.953,83.279,52.313,68.474,51.355
C212,40.783,32.442,45.944,83.578,53.224,68.242,51.877
C213,41.623,32.583,46.935,83.877,54.135,68.010,52.400
C214,42.464,32.724,47.926,84.177,55.046,67.778,52.922
C215,43.304,32.865,48.917,84.476,55.957,67.545,53.445
C216,44.144,33.006,49.908,84.775,56.867,67.313,53.967
C217,44.985,33.147,50.899,85.074,57.778,67.081,54.490
C218,45.825,33.288,51.890,85.373,58.689,66.848,55.013
C219,46.665,33.430,52.881,85.672,59.600,66.616,55.535
C220,47.506,33.571,53.872,85.972,60.511,66.384,56.058
C221,48.346,33.712,54.863,86.271,61.421,66.151,56.580
C222,49.187,33.853,55.854,86.570,62.332,65.919,57.103
C223,50.027,33.994,56.845,86.869,63.243,65.687,57.626
C224,50.867,34.135,57.837,87.168,64.154,65.455,58.148
C225,51.708,34.276,58.828,87.468,65.065,65.222,58.671
C226,52.548,34.417,59.819,87.767,65.975,64.990,59.193
C227,53.388,34.558,60.810,88.066,66.886,64.758,59.716
C228,54.229,34.699,61.801,88.365,67.797,64.525,60.238
C229,55.069,34.840,62.792,88.664,68.708,64.293,60.761
C230,55.910,34.981,63.783,88.704,69.619,64.061,61.284
C231,56.750,35.336,64.774,87.288,70.529,63.828,61.806
C232,57.590,36.122,65.765,85.873,71.440,63.596,62.329
